             p/mas U     B     V     R     I     J     H     K
omegaw-sco  6.92  3.10  3.92  3.97  3.91  3.99  4.00  4.04  4.009
betab-sco   8.07  2.00  2.43  2.50  -99   -99   -99   -99   -99
pip-sco     5.57  1.82  2.71  2.91  3.00  3.20  3.35  3.44  3.50  -eclipsing
taut-sco    6.88  1.55  2.56  2.81  2.93  3.18  3.42  3.50  3.57
deltad-sco  6.64  1.30  2.20  2.32  2.36  2.49  2.58  2.61  2.72
sigmas-sco  4.68  2.32  3.02  2.89  1.69  1.58  2.49  2.40  2.40
antares      5.89  4.08  2.75  0.91 -0.64 -1.87 -2.73 -3.49 -3.79
