 Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	    spec. type     	typ
99	99	99	18.5	15.5	M6                 	pr*
99	99	99	18.5	15.5	M6                 	pr*
99	99	99	18.5	15.5	M6                 	pr*
99	99	99	18.5	15.6	M6                 	pr*
99	99	99	18.5	15.6	M6                 	pr*
99	99	99	18.5	15.6	M6                 	pr*
99	99	99	18.5	15.7	M6                 	pr*
99	99	99	18.5	15.7	M6                 	pr*
99	99	99	18.5	15.7	M6                 	pr*
99	99	99	18.5	15.9	M5                 	pr*
99	99	99	18.5	15.9	M5                 	pr*
99	99	99	18.5	15.9	M5                 	pr*
99	99	99	18.5	16	M6                 	pr*
99	99	99	18.5	16	M6                 	pr*
99	99	99	18.5	16	M6                 	pr*
99	99	99	18.5	16.1	M4                 	*  
99	99	99	18.5	16.1	M4                 	*  
99	99	99	18.6	15.7	M6                 	pr*
99	99	99	18.6	15.7	M6                 	pr*
99	99	99	18.6	15.7	M6                 	pr*
99	99	99	18.6	16.2	M4                 	*  
99	99	99	18.6	16.2	M4                 	*  
99	99	99	18.7	15.9	M6                 	pr*
99	99	99	18.7	15.9	M6                 	pr*
99	99	99	18.7	15.9	M6                 	pr*
99	99	99	18.7	15.9	M7                 	pr*
99	99	99	18.7	15.9	M6                 	pr*
99	99	99	18.7	15.9	M6                 	pr*
99	99	99	18.7	15.9	M6.5               	pr*
99	99	99	18.7	15.9	M6.5               	pr*
99	99	99	18.7	15.9	M6.5               	pr*
99	99	99	18.7	15.9	M7                 	pr*
99	99	99	18.7	15.9	M7                 	pr*
99	99	99	18.7	16	M6                 	pr*
99	99	99	18.7	16	M6                 	pr*
99	99	99	18.7	16	M6                 	pr*
99	99	99	18.7	16.3	M5                 	*  
99	99	99	18.7	16.3	M5                 	*  
99	99	99	18.8	16.1	M5                 	pr*
99	99	99	18.8	16.1	M6                 	pr*
99	99	99	18.8	16.1	M6                 	pr*
99	99	99	18.8	16.1	M5                 	pr*
99	99	99	18.8	16.1	M5                 	pr*
99	99	99	18.8	16.1	M6                 	pr*
99	99	99	18.8	16.2	M6                 	pr*
99	99	99	18.8	16.2	M6                 	pr*
99	99	99	18.8	16.2	M6                 	pr*
99	99	99	18.8	16.2	M6                 	pr*
99	99	99	18.8	16.7	M3                 	*  
99	99	99	18.8	16.7	M3                 	*  
99	99	99	18.9	16.1	M5                 	pr*
99	99	99	18.9	16.1	M5                 	pr*
99	99	99	18.9	16.1	M5                 	pr*
99	99	99	18.9	16.5	M6                 	pr*
99	99	99	18.9	16.5	M6                 	pr*
99	99	99	18.9	16.5	M6                 	pr*
99	99	99	18.9	16.6	M5.5               	pr*
99	99	99	18.9	16.6	M5.5               	pr*
99	99	99	18.9	16.6	M5.5               	pr*
99	99	99	18.9	16.7	K3:                	*  
99	99	99	18.9	16.7	K3:                	*  
99	99	99	18.9	16.7	M3                 	*  
99	99	99	18.9	16.7	M3                 	*  
99	99	99	19	15.9	M6.5               	pr*
99	99	99	19	15.9	M6.5               	pr*
99	99	99	19	15.9	M6.5               	pr*
99	99	99	19	16.3	M6                 	pr*
99	99	99	19	16.3	M6                 	pr*
99	99	99	19	16.3	M6                 	pr*
99	99	99	19	16.462	M6                 	pr*
99	99	99	19	16.462	M6                 	pr*
99	99	99	19	16.462	M6                 	pr*
99	99	99	19	16.5	M7.5               	BD*
99	99	99	19	16.5	M7.5               	BD*
99	99	99	19	16.5	M7.5               	BD*
99	99	99	19	16.5	M7.5               	BD*
99	99	99	19	16.5	M7.5               	BD*
99	99	99	19	16.5	M7.5               	BD*
99	99	99	19.1	16	M6                 	pr*
99	99	99	19.1	16	M6                 	pr*
99	99	99	19.1	16	M6                 	pr*
99	99	99	19.1	16.5	M7.5               	pr*
99	99	99	19.1	16.5	M7.5               	pr*
99	99	99	19.1	16.5	M7.5               	pr*
99	99	99	19.1	16.5	M7.5               	pr*
99	99	99	19.2	16.2	M5                 	pr*
99	99	99	19.2	16.2	M5                 	pr*
99	99	99	19.2	16.2	M8                 	pr*
99	99	99	19.2	16.2	M8                 	pr*
99	99	99	19.2	16.2	M8                 	pr*
99	99	99	19.2	16.2	M5                 	pr*
99	99	99	19.2	16.3	M6                 	pr*
99	99	99	19.2	16.3	M6                 	pr*
99	99	99	19.2	16.3	M6                 	pr*
99	99	99	19.2	16.5	M6                 	pr*
99	99	99	19.2	16.5	M6                 	pr*
99	99	99	19.2	16.5	M6                 	pr*
99	99	99	19.3	16.1	M8                 	pr*
99	99	99	19.3	16.1	M8                 	pr*
99	99	99	19.3	16.1	M8                 	pr*
99	99	99	19.3	16.4	M6.5               	pr*
99	99	99	19.3	16.4	M6.5               	pr*
99	99	99	19.3	16.4	M6.5               	pr*
99	99	99	19.4	18.98	M9+M9.5            	** 
99	99	99	19.5	16.5	M6                 	pr*
99	99	99	19.5	16.5	M6                 	pr*
99	99	99	19.5	16.5	M6                 	pr*
99	99	99	19.5	16.6	M6.5               	pr*
99	99	99	19.5	16.6	M6.5               	pr*
99	99	99	19.7	16.5	M7                 	*  
99	99	99	19.7	16.5	M7                 	*  
99	99	99	19.7	16.8	M7.5               	pr*
99	99	99	19.7	16.8	M7.5               	pr*
99	99	99	19.7	16.8	M7.5               	pr*
99	99	99	19.7	16.8	M7.5               	pr*
99	99	99	19.7	17.4	M2                 	*  
